# name	repository	commit	skill-path
test-driven-development	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/test-driven-development
to-spec	https://github.com/mattpocock/skills.git	3cca18b368ae95cdbdebbff572ccafa662551015	skills/engineering/to-spec
to-tickets	https://github.com/mattpocock/skills.git	3cca18b368ae95cdbdebbff572ccafa662551015	skills/engineering/to-tickets
triage	https://github.com/mattpocock/skills.git	3cca18b368ae95cdbdebbff572ccafa662551015	skills/engineering/triage
unslop	https://github.com/theclaymethod/unslop.git	d81f5196167ded24f46fced04958c0c12d681798	.
using-git-worktrees	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/using-git-worktrees
using-superpowers	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/using-superpowers
validate-data	https://github.com/openai/role-specific-plugins.git	fe5608d2512a7d6a7b9821ce8a88c48464ecd6e4	plugins/data-analytics/skills/validate-data
verification-before-completion	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/verification-before-completion
visualize-data	https://github.com/openai/role-specific-plugins.git	fe5608d2512a7d6a7b9821ce8a88c48464ecd6e4	plugins/data-analytics/skills/visualize-data
wayfinder	https://github.com/mattpocock/skills.git	3cca18b368ae95cdbdebbff572ccafa662551015	skills/engineering/wayfinder
writing-plans	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/writing-plans
writing-skills	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/writing-skills
